Textbox15,Textbox13
Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2025,2991,ACEPREV,1000000000000,ATIVO,"8.542.389,83",DV,"5.683.830,03","5.899.713,36","8.326.506,50",DV
02/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"18.734,27",DV,"3.266.945,99","3.269.791,20","15.889,06",DV
02/2025,2991,ACEPREV,1010100000000,IMEDIATO,"18.734,27",DV,"2.539.152,80","2.541.998,01","15.889,06",DV
02/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"727.793,19","727.793,19","0,00",DV
02/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"8.472.179,88",DV,"2.416.884,04","2.627.874,62","8.261.189,30",DV
02/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
02/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"0,00",DV,"0,00","0,00","0,00",DV
02/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"0,00",DV,"0,00","0,00","0,00",DV
02/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
02/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"0,00",DV,"0,00","0,00","0,00",DV
02/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
02/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"0,00",DV,"0,00","0,00","0,00",DV
