Textbox15,Textbox13
Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
03/2025,2991,ACEPREV,1000000000000,ATIVO,"8.326.506,50",DV,"4.763.758,76","4.669.961,68","8.420.303,58",DV
03/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"15.889,06",DV,"2.642.364,08","2.641.203,85","17.049,29",DV
03/2025,2991,ACEPREV,1010100000000,IMEDIATO,"15.889,06",DV,"1.925.611,88","1.924.451,65","17.049,29",DV
03/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"716.752,20","716.752,20","0,00",DV
03/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"8.261.189,30",DV,"2.121.394,68","2.026.709,49","8.355.874,49",DV
03/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"0,00",DV,"0,00","0,00","0,00",DV
03/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.258.889,21",DV,"793.311,62","778.709,49","3.273.491,34",DV
03/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"364.941,33",DV,"380.050,25","360.175,45","384.816,13",DV
03/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"332.545,39",DV,"353.058,55","332.545,39","353.058,55",DV
03/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"285.335,33",DV,"340.756,46","332.545,39","293.546,40",DV
