Textbox15,Textbox13
Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
10/2025,2991,ACEPREV,1000000000000,ATIVO,"9.073.708,00",DV,"5.115.933,12","5.010.046,30","9.179.594,82",DV
10/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"18.998,17",DV,"2.828.062,51","2.828.606,63","18.454,05",DV
10/2025,2991,ACEPREV,1010100000000,IMEDIATO,"18.998,17",DV,"2.075.705,28","2.076.249,40","18.454,05",DV
10/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"752.357,23","752.357,23","0,00",DV
10/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"9.019.410,31",DV,"2.287.870,61","2.179.426,29","9.127.854,63",DV
10/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.311.794,74",DV,"837.701,22","821.426,29","3.328.069,67",DV
10/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"399.843,50",DV,"410.299,46","384.571,95","425.571,01",DV
10/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"352.794,38",DV,"353.631,62","352.794,38","353.631,62",DV
10/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"219.500,56",DV,"340.756,46","352.794,38","207.462,64",DV
10/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"54.237,54",DV,"4.382,19","0,00","58.619,73",DV
10/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"79.056,28",DV,"8.492,97","0,00","87.549,25",DV
10/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"30.179,56",DV,"33.245,61","14.908,01","48.517,16",DV
10/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"16.869,56",DV,"23.422,23","16.869,56","23.422,23",DV
10/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"16.869,56",DV,"23.422,23","16.869,56","23.422,23",DV
10/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
10/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"324.690,50",DV,"304.098,52","324.690,50","304.098,52",DV
10/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"31.429,92",DV,"123.303,24","112.163,84","42.569,32",DV
10/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"31.429,92",DV,"123.303,24","112.163,84","42.569,32",DV
10/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"5.707.615,57",DV,"1.450.169,39","1.358.000,00","5.799.784,96",DV
10/2025,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020302060000,DEBÊNTURES,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020304000000,FUNDOS DE INVESTIMENTOS,"5.707.615,57",DV,"1.450.169,39","1.358.000,00","5.799.784,96",DV
10/2025,2991,ACEPREV,1020304010000,FUNDO DE RENDA FIXA,"5.707.615,57",DV,"1.450.169,39","1.358.000,00","5.799.784,96",DV
10/2025,2991,ACEPREV,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020304030100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020304070000,FUNDO MULTIMERCADO ,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1030000000000,IMOBILIZADO E INTANGÍVEL,"35.299,52",DV,"0,00","2.013,38","33.286,14",DV
10/2025,2991,ACEPREV,1030100000000,IMOBILIZADO,"35.299,52",DV,"0,00","2.013,38","33.286,14",DV
10/2025,2991,ACEPREV,1030101000000,OPERACIONAL CORPÓREO,"35.299,52",DV,"0,00","2.013,38","33.286,14",DV
10/2025,2991,ACEPREV,1030101010000,BENS MÓVEIS,"35.299,52",DV,"0,00","2.013,38","33.286,14",DV
10/2025,2991,ACEPREV,1030200000000,INTANGÍVEL,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1030201000000,"GASTOS COM IMPLANTAÇÃO, REORGANIZAÇÃO E DESENVOLVIMENTO","0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1030202000000,FOMENTO,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,2000000000000,PASSIVO,"9.073.708,00",CR,"2.002.239,66","2.108.126,48","9.179.594,82",CR
