Textbox15,Textbox13
Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
09/2025,2991,ACEPREV,1000000000000,ATIVO,"8.933.771,72",DV,"4.840.378,78","4.700.442,50","9.073.708,00",DV
09/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"17.404,37",DV,"2.667.890,02","2.666.296,22","18.998,17",DV
09/2025,2991,ACEPREV,1010100000000,IMEDIATO,"17.404,37",DV,"1.937.280,82","1.935.687,02","18.998,17",DV
09/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"730.609,20","730.609,20","0,00",DV
09/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"8.879.054,45",DV,"2.172.488,76","2.032.132,90","9.019.410,31",DV
09/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.296.286,09",DV,"813.641,55","798.132,90","3.311.794,74",DV
09/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"405.778,07",DV,"376.859,21","382.793,78","399.843,50",DV
09/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"353.159,07",DV,"352.794,38","353.159,07","352.794,38",DV
09/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"231.903,17",DV,"340.756,46","353.159,07","219.500,56",DV
09/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"49.367,35",DV,"4.870,19","0,00","54.237,54",DV
09/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"71.888,55",DV,"7.167,73","0,00","79.056,28",DV
09/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"36.095,37",DV,"7.195,27","13.111,08","30.179,56",DV
09/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"16.523,63",DV,"16.869,56","16.523,63","16.869,56",DV
09/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"16.523,63",DV,"16.869,56","16.523,63","16.869,56",DV
09/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
09/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"302.137,48",DV,"324.690,50","302.137,48","324.690,50",DV
09/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"32.539,72",DV,"112.091,84","113.201,64","31.429,92",DV
09/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"32.539,72",DV,"112.091,84","113.201,64","31.429,92",DV
09/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"5.582.768,36",DV,"1.358.847,21","1.234.000,00","5.707.615,57",DV
09/2025,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020302060000,DEBÊNTURES,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020304000000,FUNDOS DE INVESTIMENTOS,"5.582.768,36",DV,"1.358.847,21","1.234.000,00","5.707.615,57",DV
09/2025,2991,ACEPREV,1020304010000,FUNDO DE RENDA FIXA,"5.582.768,36",DV,"1.358.847,21","1.234.000,00","5.707.615,57",DV
09/2025,2991,ACEPREV,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020304030100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020304070000,FUNDO MULTIMERCADO ,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1030000000000,IMOBILIZADO E INTANGÍVEL,"37.312,90",DV,"0,00","2.013,38","35.299,52",DV
09/2025,2991,ACEPREV,1030100000000,IMOBILIZADO,"37.312,90",DV,"0,00","2.013,38","35.299,52",DV
09/2025,2991,ACEPREV,1030101000000,OPERACIONAL CORPÓREO,"37.312,90",DV,"0,00","2.013,38","35.299,52",DV
09/2025,2991,ACEPREV,1030101010000,BENS MÓVEIS,"37.312,90",DV,"0,00","2.013,38","35.299,52",DV
09/2025,2991,ACEPREV,1030200000000,INTANGÍVEL,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1030201000000,"GASTOS COM IMPLANTAÇÃO, REORGANIZAÇÃO E DESENVOLVIMENTO","0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1030202000000,FOMENTO,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,2000000000000,PASSIVO,"8.933.771,72",CR,"2.001.657,02","2.141.593,30","9.073.708,00",CR
09/2025,2991,ACEPREV,2010000000000,EXIGÍVEL OPERACIONAL,"1.089.255,43",CR,"1.568.544,83","1.703.374,11","1.224.084,71",CR
