Textbox15,Textbox13
Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
11/2025,2991,ACEPREV,1000000000000,ATIVO,"9.179.594,82",DV,"4.692.954,95","4.502.154,94","9.370.394,83",DV
11/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"18.454,05",DV,"2.569.798,18","2.563.122,99","25.129,24",DV
11/2025,2991,ACEPREV,1010100000000,IMEDIATO,"18.454,05",DV,"1.825.642,61","1.818.967,42","25.129,24",DV
11/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"744.155,57","744.155,57","0,00",DV
11/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"9.127.854,63",DV,"2.123.156,77","1.937.018,57","9.313.992,83",DV
11/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.328.069,67",DV,"812.189,60","821.018,57","3.319.240,70",DV
11/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"425.571,01",DV,"389.670,82","395.905,81","419.336,02",DV
11/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"353.631,62",DV,"354.187,59","353.631,62","354.187,59",DV
11/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"207.462,64",DV,"340.756,46","353.631,62","194.587,48",DV
11/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"58.619,73",DV,"5.691,91","0,00","64.311,64",DV
11/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"87.549,25",DV,"7.739,22","0,00","95.288,47",DV
11/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"48.517,16",DV,"17.904,52","18.851,96","47.569,72",DV
11/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"23.422,23",DV,"17.578,71","23.422,23","17.578,71",DV
11/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"23.422,23",DV,"17.578,71","23.422,23","17.578,71",DV
11/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
11/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"304.098,52",DV,"301.773,29","304.098,52","301.773,29",DV
11/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"42.569,32",DV,"120.745,49","121.014,24","42.300,57",DV
11/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"42.569,32",DV,"120.745,49","121.014,24","42.300,57",DV
11/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"5.799.784,96",DV,"1.310.967,17","1.116.000,00","5.994.752,13",DV
11/2025,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020302060000,DEBÊNTURES,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020304000000,FUNDOS DE INVESTIMENTOS,"5.799.784,96",DV,"1.310.967,17","1.116.000,00","5.994.752,13",DV
11/2025,2991,ACEPREV,1020304010000,FUNDO DE RENDA FIXA,"5.799.784,96",DV,"1.310.967,17","1.116.000,00","5.994.752,13",DV
11/2025,2991,ACEPREV,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"0,00",DV,"0,00","0,00","0,00",DV
