Textbox15,Textbox13
Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
03/2026,2991,ACEPREV,1000000000000,ATIVO,"9.289.452,68",DV,"6.286.518,29","6.620.887,98","8.955.082,99",DV
03/2026,2991,ACEPREV,1010000000000,DISPONÍVEL,"22.079,77",DV,"3.635.391,11","3.639.624,02","17.846,86",DV
03/2026,2991,ACEPREV,1010100000000,IMEDIATO,"22.079,77",DV,"2.884.092,65","2.888.325,56","17.846,86",DV
03/2026,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"751.298,46","751.298,46","0,00",DV
03/2026,2991,ACEPREV,1020000000000,REALIZÁVEL,"9.242.140,29",DV,"2.651.127,18","2.979.250,58","8.914.016,89",DV
03/2026,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
03/2026,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"0,00",DV,"0,00","0,00","0,00",DV
03/2026,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"0,00",DV,"0,00","0,00","0,00",DV
03/2026,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
03/2026,2991,ACEPREV,1020101010300,PARTICIPANTES,"0,00",DV,"0,00","0,00","0,00",DV
03/2026,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"0,00",DV,"0,00","0,00","0,00",DV
03/2026,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"0,00",DV,"0,00","0,00","0,00",DV
03/2026,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.284.986,05",DV,"811.615,33","813.250,58","3.283.350,80",DV
03/2026,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"384.408,83",DV,"378.593,78","378.850,26","384.152,35",DV
03/2026,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"355.673,22",DV,"343.629,37","355.673,22","343.629,37",DV
03/2026,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"303.345,32",DV,"330.872,59","355.673,22","278.544,69",DV
03/2026,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"20.271,67",DV,"5.148,59","0,00","25.420,26",DV
03/2026,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"32.056,23",DV,"7.608,19","0,00","39.664,42",DV
03/2026,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"11.125,50",DV,"16.840,51","5.566,93","22.399,08",DV
03/2026,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
