ID_PLANO;SG_PLANO;NM_PLANO;NU_CNPB;ID_SIT_PRINCIPAL_PLANO;ID_SIT_PLANO;CS_FUNDAMENTACAO_LEGAL;CS_MODALIDADE_PLANO;DT_APROV_PLANO;DT_AUTORIZ_PLANO;DT_INIC_FUNC_PLANO;DT_FECHA_MASSA_PLANO;DT_ENCER_EXTINCAO_PLANO;IN_PLANO_PREVIDENCIAL;CS_PLANO_PATROC_INSTIT;IN_RISCO_MUTALISTA;IN_CONTRIB_NORMAL_PARTIC;IN_CONTRIB_NORMAL_ASSIST;IN_CONTRIB_NORMAL_PATROC;IN_DESP_ADM_PARTIC;IN_DESP_ADM_ASSIST;IN_DESP_ADM_PATROC;IN_CONTRIB_SERV_PASSADO_PARTIC;IN_CONTRIB_SERV_PASSADO_ASSIST;IN_CONTRIB_SERV_PASSADO_PATROC;IN_INSTITUTO_AUTOPATROCINIO;QT_PATROCINADORES;DT_EXTRACAO;NU_CNPJ
111;PLANO FRANPREV;PLANO DE BENEFÍCIOS FRANPREV;1983000418;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1983-12-31 00:00:00.0000000;1983-12-31 00:00:00.0000000;1997-01-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;5;06/05/26;483066730001-09
437;PREVCUMMINS;PLANO DE BENEFICIOS PREVCUMMINS;1999000838;ATIVO;EM EXTINÇÃO;LC 109;Contribuição Definida;;1999-02-03 00:00:00.0000000;1999-02-03 00:00:00.0000000;1999-03-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;3;06/05/26;483070350001-02
162;03-A;BENEFÍCIOS  03-A;1998000818;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1998-02-04 00:00:00.0000000;1998-02-04 00:00:00.0000000;2000-02-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;1;06/05/26;483069750001-79
161;02-A;BENEFÍCIOS 02-A;1998000974;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1998-02-04 00:00:00.0000000;1998-02-04 00:00:00.0000000;2000-02-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;2;06/05/26;483069760001-13
160;01-A;BENEFÍCIOS 01-A;1988000718;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1988-03-17 00:00:00.0000000;1988-06-21 00:00:00.0000000;2000-02-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;1;06/05/26;483067370001-63
136;PBP1;PLANO DE BENEFÍCIOS PORTUS 1;1978000529;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1978-12-20 00:00:00.0000000;1979-04-01 00:00:00.0000000;2010-05-10 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;8;06/05/26;483065610001-40
137;PBD;PLANO DE BENEFÍCIO DEFINIDO;1981000429;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1981-01-26 00:00:00.0000000;1981-03-28 00:00:00.0000000;2005-06-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;2;06/05/26;483066340001-01
148;BD UNILEVERPREV;PLANO DE BENEFÍCIO DEFINIDO UNILEVERPREV;1981001719;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1981-12-07 00:00:00.0000000;1981-12-31 00:00:00.0000000;2003-02-01 00:00:00.0000000;;Sim;Patrocinado;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;3;06/05/26;483066460001-28
142;PLANO BD;PLANO  BD;1982002956;ATIVO;EM EXTINÇÃO;LC 109;Benefício Definido;;1982-12-14 00:00:00.0000000;1983-02-03 00:00:00.0000000;2004-07-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Sim;4;06/05/26;483066670001-43
139;PRECE I;PLANO DE BENEFÍCIO PRECE I;1983000183;ATIVO;EM EXTINÇÃO;LC 108/109;Benefício Definido;;1983-01-13 00:00:00.0000000;1983-01-18 00:00:00.0000000;2005-08-01 00:00:00.0000000;;Sim;Patrocinado;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;3;06/05/26;483066700001-67
