Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
12/2025,2991,ACEPREV,1000000000000,ATIVO,"1.862.304.800,32",DV,"94.505.694,50","90.173.237,69","1.866.637.257,13",DV
12/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"64.007,53",DV,"42.433.130,95","42.070.538,93","426.599,55",DV
12/2025,2991,ACEPREV,1010100000000,IMEDIATO,"64.007,53",DV,"40.467.097,80","40.104.505,78","426.599,55",DV
12/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"1.966.033,15","1.966.033,15","0,00",DV
12/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.862.209.520,03",DV,"52.072.563,55","48.100.685,38","1.866.181.398,20",DV
12/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"208.553,94",DV,"6.553.169,76","6.414.460,48","347.263,22",DV
12/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"165.800,94",DV,"6.549.989,04","6.411.180,44","304.609,54",DV
12/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"165.800,94",DV,"6.549.989,04","6.411.180,44","304.609,54",DV
12/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"12.158,42",DV,"3.176.295,41","3.188.413,48","40,35",DV
12/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"86.284,63",DV,"3.225.340,46","3.091.535,41","220.089,68",DV
12/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"42.253,89",DV,"106.749,17","69.627,55","79.375,51",DV
12/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"25.104,00",DV,"41.604,00","61.604,00","5.104,00",DV
12/2025,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
12/2025,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
12/2025,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"27.243,70",DV,"0,00","0,00","27.243,70",DV
12/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.509,30",DV,"3.180,72","3.280,04","15.409,98",DV
12/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.509,30",DV,"3.180,72","3.280,04","15.409,98",DV
