202509;196;CAPOF;EFPC;NULL;0;23;32000;" Assistidos - Aposentados";FOLHA;246;0;0;0;246;2026-06-26
202509;196;CAPOF;EFPC;NULL;0;24;33000;" Assistidos - Beneficiários de Pensão";FOLHA;116;0;0;0;116;2026-06-26
202509;196;CAPOF;EFPC;NULL;0;25;34000;" Designados";FOLHA;229;0;0;0;229;2026-06-26
202510;196;CAPOF;EFPC;NULL;0;7;12000;" Auxílios - Prestação Continuada";FOLHA;0;0;0;0;0;2026-06-26
202510;196;CAPOF;EFPC;NULL;0;21;31200;" Participante - com custeio patronal e do participante";FOLHA;33;0;0;0;33;2026-06-26
202510;196;CAPOF;EFPC;NULL;0;23;32000;" Assistidos - Aposentados";FOLHA;246;0;0;0;246;2026-06-26
202510;196;CAPOF;EFPC;NULL;0;24;33000;" Assistidos - Beneficiários de Pensão";FOLHA;116;0;0;0;116;2026-06-26
202507;3558;PREVICEL;EFPC;NULL;0;9;14000;" Pensões";FOLHA;40;0;0;0;40;2026-06-26
202507;3558;PREVICEL;EFPC;NULL;0;15;23000;Resgate;FOLHA;16;3;0;0;19;2026-06-26
202507;3558;PREVICEL;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202507;3558;PREVICEL;EFPC;NULL;0;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202508;3558;PREVICEL;EFPC;NULL;0;9;14000;" Pensões";FOLHA;40;0;0;0;40;2026-06-26
202508;3558;PREVICEL;EFPC;NULL;0;15;23000;Resgate;FOLHA;19;4;0;0;23;2026-06-26
202508;3558;PREVICEL;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202508;3558;PREVICEL;EFPC;NULL;0;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202509;3558;PREVICEL;EFPC;NULL;0;9;14000;" Pensões";FOLHA;40;1;0;0;41;2026-06-26
202509;3558;PREVICEL;EFPC;NULL;0;15;23000;Resgate;FOLHA;23;1;0;0;24;2026-06-26
202509;3558;PREVICEL;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202509;3558;PREVICEL;EFPC;NULL;0;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202510;3558;PREVICEL;EFPC;NULL;0;9;14000;" Pensões";FOLHA;41;0;0;0;41;2026-06-26
202510;3558;PREVICEL;EFPC;NULL;0;15;23000;Resgate;FOLHA;24;2;0;0;26;2026-06-26
202510;3558;PREVICEL;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202510;3558;PREVICEL;EFPC;NULL;0;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202511;3558;PREVICEL;EFPC;NULL;0;9;14000;" Pensões";FOLHA;41;0;0;0;41;2026-06-26
202511;3558;PREVICEL;EFPC;NULL;0;15;23000;Resgate;FOLHA;26;2;0;0;28;2026-06-26
202511;3558;PREVICEL;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202511;3558;PREVICEL;EFPC;NULL;0;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202512;3558;PREVICEL;EFPC;NULL;0;9;14000;" Pensões";FOLHA;41;0;0;0;41;2026-06-26
202512;3558;PREVICEL;EFPC;NULL;0;15;23000;Resgate;FOLHA;28;0;0;0;28;2026-06-26
202512;3558;PREVICEL;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202512;3558;PREVICEL;EFPC;NULL;0;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202507;196;CAPOF;EFPC;NULL;0;9;14000;" Pensões";FOLHA;115;0;0;0;115;2026-06-26
202507;196;CAPOF;EFPC;NULL;0;15;23000;Resgate;FOLHA;3;0;0;0;3;2026-06-26
202507;196;CAPOF;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202507;196;CAPOF;EFPC;NULL;0;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202508;196;CAPOF;EFPC;NULL;0;9;14000;" Pensões";FOLHA;115;0;1;1;114;2026-06-26
202508;196;CAPOF;EFPC;NULL;0;15;23000;Resgate;FOLHA;3;0;0;0;3;2026-06-26
202508;196;CAPOF;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202508;196;CAPOF;EFPC;NULL;0;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202509;196;CAPOF;EFPC;NULL;0;9;14000;" Pensões";FOLHA;114;0;0;0;114;2026-06-26
202509;196;CAPOF;EFPC;NULL;0;15;23000;Resgate;FOLHA;3;0;0;0;3;2026-06-26
202509;196;CAPOF;EFPC;NULL;0;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202510;81;BANESES;PLANO;27;1998001229;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202507;81;BANESES;PLANO;27;1998001229;9;14000;" Pensões";FOLHA;359;1;0;0;360;2026-06-26
202507;81;BANESES;PLANO;27;1998001229;15;23000;Resgate;FOLHA;43;3;0;0;46;2026-06-26
202507;81;BANESES;PLANO;27;1998001229;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202507;81;BANESES;PLANO;27;1998001229;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202508;81;BANESES;PLANO;27;1998001229;9;14000;" Pensões";FOLHA;360;2;1;1;361;2026-06-26
202508;81;BANESES;PLANO;27;1998001229;15;23000;Resgate;FOLHA;46;1;0;0;47;2026-06-26
202508;81;BANESES;PLANO;27;1998001229;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202508;81;BANESES;PLANO;27;1998001229;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202511;81;BANESES;PLANO;27;1998001229;9;14000;" Pensões";FOLHA;367;1;1;1;367;2026-06-26
202511;81;BANESES;PLANO;27;1998001229;15;23000;Resgate;FOLHA;47;1;0;0;48;2026-06-26
202511;81;BANESES;PLANO;27;1998001229;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202511;81;BANESES;PLANO;27;1998001229;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202512;81;BANESES;PLANO;27;1998001229;9;14000;" Pensões";FOLHA;367;2;1;1;368;2026-06-26
202512;81;BANESES;PLANO;27;1998001229;15;23000;Resgate;FOLHA;48;0;0;0;48;2026-06-26
202512;81;BANESES;PLANO;27;1998001229;18;24200;" Portabilidade - Plano de Benefícios Receptor";FOLHA;0;0;0;0;0;2026-06-26
202512;81;BANESES;PLANO;27;1998001229;16;24000;" Portabilidade (totalizador)";FOLHA;0;0;0;0;0;2026-06-26
202510;81;BANESES;PLANO;27;1998001229;4;11000;Aposentadoria - Prestação Continuada (totalizador);TOTALIZADOR;2210;1;8;8;2203;2026-06-26
202507;81;BANESES;PLANO;27;1998001229;11;16000;" Outros Benefícios de Prestação Única";FOLHA;42;3;0;0;45;2026-06-26
202507;81;BANESES;PLANO;27;1998001229;12;17000;" Outros Benefícios de Prestação Conituada";FOLHA;0;0;0;0;0;2026-06-26
202507;81;BANESES;PLANO;27;1998001229;17;24100;" Portabilidade - Plano de Benefícios Originário";FOLHA;0;0;0;0;0;2026-06-26
202507;81;BANESES;PLANO;27;1998001229;4;11000;Aposentadoria - Prestação Continuada (totalizador);TOTALIZADOR;2213;1;3;3;2211;2026-06-26
202508;81;BANESES;PLANO;27;1998001229;11;16000;" Outros Benefícios de Prestação Única";FOLHA;45;5;0;0;50;2026-06-26
202508;81;BANESES;PLANO;27;1998001229;12;17000;" Outros Benefícios de Prestação Conituada";FOLHA;0;0;0;0;0;2026-06-26
202508;81;BANESES;PLANO;27;1998001229;17;24100;" Portabilidade - Plano de Benefícios Originário";FOLHA;0;0;0;0;0;2026-06-26
202508;81;BANESES;PLANO;27;1998001229;4;11000;Aposentadoria - Prestação Continuada (totalizador);TOTALIZADOR;2211;4;4;4;2211;2026-06-26
202511;81;BANESES;PLANO;27;1998001229;11;16000;" Outros Benefícios de Prestação Única";FOLHA;57;3;0;0;60;2026-06-26
202511;81;BANESES;PLANO;27;1998001229;12;17000;" Outros Benefícios de Prestação Conituada";FOLHA;0;0;0;0;0;2026-06-26
202511;81;BANESES;PLANO;27;1998001229;17;24100;" Portabilidade - Plano de Benefícios Originário";FOLHA;0;0;0;0;0;2026-06-26
202511;81;BANESES;PLANO;27;1998001229;4;11000;Aposentadoria - Prestação Continuada (totalizador);TOTALIZADOR;2203;2;2;2;2203;2026-06-26
202512;81;BANESES;PLANO;27;1998001229;11;16000;" Outros Benefícios de Prestação Única";FOLHA;60;3;0;0;63;2026-06-26
202512;81;BANESES;PLANO;27;1998001229;12;17000;" Outros Benefícios de Prestação Conituada";FOLHA;0;0;0;0;0;2026-06-26
202512;81;BANESES;PLANO;27;1998001229;17;24100;" Portabilidade - Plano de Benefícios Originário";FOLHA;0;0;0;0;0;2026-06-26
202512;81;BANESES;PLANO;27;1998001229;4;11000;Aposentadoria - Prestação Continuada (totalizador);TOTALIZADOR;2203;0;5;5;2198;2026-06-26
