Textbox13
"Valores em R$ 1,00"

DATA_COMP,SG_EFPC,LEGISLACAO_ENT,NU_CNPB,Textbox17,SITUACAO,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1000000000000,ATIVO,"98.918.174,10",DV,"7.899.662,27","7.859.102,82","98.958.733,55",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010000000000,DISPONÍVEL,"16.022,02",DV,"3.514.767,31","3.391.033,03","139.756,30",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010100000000,IMEDIATO,"16.022,02",DV,"3.389.469,18","3.265.734,90","139.756,30",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010200000000,VINCULADO,"0,00",DV,"125.298,13","125.298,13","0,00",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020000000000,REALIZÁVEL,"98.902.152,08",DV,"4.384.894,96","4.468.069,79","98.818.977,25",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020100000000,GESTÃO PREVIDENCIAL,"5.595,70",DV,"413.626,85","412.898,41","6.324,14",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101000000,RECURSOS A RECEBER,"5.091,99",DV,"413.443,10","412.772,41","5.762,68",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010000,CONTRIBUIÇÕES DO MÊS,"5.091,99",DV,"413.443,10","412.772,41","5.762,68",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010100,PATROCINADOR(ES),"40,35",DV,"119.147,55","119.147,55","40,35",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010300,PARTICIPANTES,"3.495,55",DV,"290.811,06","290.970,18","3.336,43",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010400,AUTOPATROCINADOS,"1.556,09",DV,"3.484,49","2.654,68","2.385,90",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010500,PARTICIPANTES EM BPD,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"503,71",DV,"183,75","126,00","561,46",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020199010000,OUTROS REALIZÁVEIS,"503,71",DV,"183,75","126,00","561,46",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020200000000,GESTÃO ADMINISTRATIVA,"1.416.799,70",DV,"0,00","4.358,34","1.412.441,36",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020203000000,PARTICIPAÇÃO NO PGA,"1.416.799,70",DV,"0,00","4.358,34","1.412.441,36",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020300000000,INVESTIMENTOS,"97.479.756,68",DV,"3.971.268,11","4.050.813,04","97.400.211,75",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301000000,TÍTULOS PÚBLICOS,"72.220.714,90",DV,"1.661.696,44","2.189.846,40","71.692.564,94",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301010000,TÍTULOS PÚBLICOS FEDERAIS,"72.220.714,90",DV,"1.661.696,44","2.189.846,40","71.692.564,94",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301010100,TESOURO IPCA / NOTA DO TESOURO NACIONAL - NTN,"72.220.714,90",DV,"1.661.696,44","2.189.846,40","71.692.564,94",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301010101,TESOURO IPCA / NTN-B,"72.220.714,90",DV,"1.661.696,44","2.189.846,40","71.692.564,94",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301010300,TESOURO PREFIXADO / LETRA DO TESOURO NACIONAL - LTN,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"5.227.636,20",DV,"47.121,61","1.027,43","5.273.730,38",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"3.656.926,86",DV,"41.082,90","0,00","3.698.009,76",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302010100,LETRA FINANCEIRA - LF,"3.656.926,86",DV,"41.082,90","0,00","3.698.009,76",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302060000,DEBÊNTURES,"1.570.709,34",DV,"6.038,71","1.027,43","1.575.720,62",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"1.570.709,34",DV,"6.038,71","1.027,43","1.575.720,62",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020303000000,RENDA VARIÁVEL,"252,82",DV,"0,00","0,00","252,82",DV
02/2026,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020303020000,BÔNUS DE SUBSCRIÇÃO EM AÇÕES,"252,82",DV,"0,00","0,00","252,82",DV
