Textbox13
"Valores em R$ 1,00"

DATA_COMP,SG_EFPC,LEGISLACAO_ENT,NU_CNPB,Textbox17,SITUACAO,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1000000000000,ATIVO,"91.966.577,88",DV,"7.022.780,30","6.519.139,62","92.470.218,56",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010000000000,DISPONÍVEL,"16.328,54",DV,"2.950.922,88","2.949.263,76","17.987,66",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010100000000,IMEDIATO,"16.328,54",DV,"2.838.546,22","2.836.887,10","17.987,66",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010200000000,VINCULADO,"0,00",DV,"112.376,66","112.376,66","0,00",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020000000000,REALIZÁVEL,"91.950.249,34",DV,"4.071.857,42","3.569.875,86","92.452.230,90",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020100000000,GESTÃO PREVIDENCIAL,"12.049,79",DV,"260.386,06","271.818,10","617,75",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101000000,RECURSOS A RECEBER,"11.582,08",DV,"260.257,06","271.716,85","122,29",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010000,CONTRIBUIÇÕES DO MÊS,"11.582,08",DV,"260.257,06","271.716,85","122,29",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010100,PATROCINADOR(ES),"40,35",DV,"108.746,64","108.746,64","40,35",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010300,PARTICIPANTES,"0,01",DV,"150.517,08","150.517,08","0,01",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010400,AUTOPATROCINADOS,"241,72",DV,"993,34","1.153,13","81,93",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010500,PARTICIPANTES EM BPD,"11.300,00",DV,"0,00","11.300,00","0,00",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"467,71",DV,"129,00","101,25","495,46",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020199010000,OUTROS REALIZÁVEIS,"467,71",DV,"129,00","101,25","495,46",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020200000000,GESTÃO ADMINISTRATIVA,"432.766,94",DV,"4.169,94","0,00","436.936,88",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020203000000,PARTICIPAÇÃO NO PGA,"432.766,94",DV,"4.169,94","0,00","436.936,88",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020300000000,INVESTIMENTOS,"91.505.432,61",DV,"3.807.301,42","3.298.057,76","92.014.676,27",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301000000,TÍTULOS PÚBLICOS,"69.840.937,68",DV,"719.895,31","0,00","70.560.832,99",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301010000,TÍTULOS PÚBLICOS FEDERAIS,"69.840.937,68",DV,"719.895,31","0,00","70.560.832,99",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301010100,TESOURO IPCA / NOTA DO TESOURO NACIONAL - NTN,"69.840.937,68",DV,"719.895,31","0,00","70.560.832,99",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020301010101,TESOURO IPCA / NTN-B,"69.840.937,68",DV,"719.895,31","0,00","70.560.832,99",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"5.054.151,25",DV,"663.774,23","1.050.470,98","4.667.454,50",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"2.866.864,33",DV,"51.183,45","0,00","2.918.047,78",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302010100,LETRA FINANCEIRA - LF,"2.866.864,33",DV,"51.183,45","0,00","2.918.047,78",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302060000,DEBÊNTURES,"2.187.286,92",DV,"612.590,78","1.050.470,98","1.749.406,72",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"2.187.286,92",DV,"612.590,78","1.050.470,98","1.749.406,72",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020303000000,RENDA VARIÁVEL,"252,82",DV,"0,00","0,00","252,82",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020303020000,BÔNUS DE SUBSCRIÇÃO EM AÇÕES,"252,82",DV,"0,00","0,00","252,82",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020304000000,FUNDOS DE INVESTIMENTOS,"15.251.283,13",DV,"2.295.572,65","2.128.656,40","15.418.199,38",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020304010000,FUNDO DE RENDA FIXA,"8.909.063,51",DV,"1.890.191,14","1.722.000,00","9.077.254,65",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"366.415,93",DV,"6.029,48","4.386,30","368.059,11",DV
04/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020304030100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
