Textbox13
"Valores em R$ 1,00"

DATA_COMP,SG_EFPC,LEGISLACAO_ENT,NU_CNPB,Textbox17,SITUACAO,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1000000000000,ATIVO,"90.900.126,82",DV,"2.755.771,86","1.689.320,80","91.966.577,88",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010000000000,DISPONÍVEL,"16.373,48",DV,"849.632,07","849.677,01","16.328,54",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010100000000,IMEDIATO,"16.373,48",DV,"742.465,56","742.510,50","16.328,54",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1010200000000,VINCULADO,"0,00",DV,"107.166,51","107.166,51","0,00",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020000000000,REALIZÁVEL,"90.883.753,34",DV,"1.906.139,79","839.643,79","91.950.249,34",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020100000000,GESTÃO PREVIDENCIAL,"601,59",DV,"268.427,38","256.979,18","12.049,79",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101000000,RECURSOS A RECEBER,"122,63",DV,"268.335,10","256.875,65","11.582,08",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010000,CONTRIBUIÇÕES DO MÊS,"122,63",DV,"268.335,10","256.875,65","11.582,08",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010100,PATROCINADOR(ES),"40,35",DV,"106.717,94","106.717,94","40,35",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010300,PARTICIPANTES,"0,01",DV,"149.710,19","149.710,19","0,01",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010400,AUTOPATROCINADOS,"82,27",DV,"606,97","447,52","241,72",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020101010500,PARTICIPANTES EM BPD,"0,00",DV,"11.300,00","0,00","11.300,00",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"478,96",DV,"92,28","103,53","467,71",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020199010000,OUTROS REALIZÁVEIS,"478,96",DV,"92,28","103,53","467,71",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020200000000,GESTÃO ADMINISTRATIVA,"418.709,53",DV,"14.057,41","0,00","432.766,94",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020203000000,PARTICIPAÇÃO NO PGA,"418.709,53",DV,"14.057,41","0,00","432.766,94",DV
03/2025,ACEPREV,LC109,1985000547,CD,ATIVO - EM TRANSFERÊNCIA DE GERENCIAMENTO,1020300000000,INVESTIMENTOS,"90.464.442,22",DV,"1.623.655,00","582.664,61","91.505.432,61",DV
