Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
02/2026,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"117.681.556,99",DV,"1.529.486,62","177.660,39","119.033.383,22",DV
02/2026,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"83.661.138,12",DV,"1.106.720,69","0,00","84.767.858,81",DV
02/2026,2991,ACEPREV,1020302010100,LETRA FINANCEIRA - LF,"83.661.138,12",DV,"1.106.720,69","0,00","84.767.858,81",DV
02/2026,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020302010300,DEPÓSITO A PRAZO COM GARANTIA ESPECIAL - DPGE,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
02/2026,2991,ACEPREV,1020302060000,DEBÊNTURES,"44.275.633,51",DV,"422.765,93","177.660,39","44.520.739,05",DV
02/2026,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"30.446.868,15",DV,"240.053,70","11.293,19","30.675.628,66",DV
02/2026,2991,ACEPREV,1020302060300,DEBÊNTURES DE INFRAESTRUTURA LEI N.º 12.431/2011,"12.304.584,35",DV,"16.346,35","1,32","12.320.929,38",DV
02/2026,2991,ACEPREV,1020302060400,DEBÊNTURES DE INFRAESTRUTURA,"1.524.181,01",DV,"166.365,88","166.365,88","1.524.181,01",DV
02/2026,2991,ACEPREV,1020302990000,(-) PROVISÃO PARA PERDAS - ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
02/2026,2991,ACEPREV,1020302990600,(-) DEBÊNTURES,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
02/2026,2991,ACEPREV,1020303000000,RENDA VARIÁVEL,"2.940,70",DV,"0,00","0,00","2.940,70",DV
02/2026,2991,ACEPREV,1020303010000,AÇÕES,"150,00",DV,"0,00","0,00","150,00",DV
02/2026,2991,ACEPREV,1020303020000,BÔNUS DE SUBSCRIÇÃO EM AÇÕES,"2.790,70",DV,"0,00","0,00","2.790,70",DV
02/2026,2991,ACEPREV,1020304000000,COTAS DE CLASSE DE FUNDOS DE INVESTIMENTO,"395.236.600,35",DV,"45.194.310,59","25.931.859,50","414.499.051,44",DV
02/2026,2991,ACEPREV,1020304010000,COTAS DE CLASSE DE FUNDO DE RENDA FIXA,"99.598.630,80",DV,"38.052.739,32","22.714.293,14","114.937.076,98",DV
