Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
06/2025,2991,ACEPREV,1000000000000,ATIVO,"1.821.739.380,38",DV,"87.162.338,14","81.921.717,34","1.826.980.001,18",DV
06/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"71.154,06",DV,"35.470.459,71","35.153.546,43","388.067,34",DV
06/2025,2991,ACEPREV,1010100000000,IMEDIATO,"71.154,06",DV,"32.182.613,19","31.865.699,91","388.067,34",DV
06/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"3.287.846,52","3.287.846,52","0,00",DV
06/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.821.624.873,28",DV,"51.691.878,43","46.766.157,53","1.826.550.594,18",DV
06/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"232.531,81",DV,"2.707.313,09","2.724.599,64","215.245,26",DV
06/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"194.224,34",DV,"2.706.520,33","2.724.297,27","176.447,40",DV
06/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"194.224,34",DV,"2.706.520,33","2.724.297,27","176.447,40",DV
06/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"9.149,06",DV,"1.137.120,37","1.134.111,01","12.158,42",DV
06/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"126.609,67",DV,"1.500.866,63","1.509.340,80","118.135,50",DV
06/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"58.465,61",DV,"58.325,33","70.637,46","46.153,48",DV
06/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"0,00",DV,"10.208,00","10.208,00","0,00",DV
06/2025,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"22.879,05",DV,"0,00","0,00","22.879,05",DV
06/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.428,42",DV,"792,76","302,37","15.918,81",DV
06/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.428,42",DV,"792,76","302,37","15.918,81",DV
06/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.313.441,22",DV,"1.683.480,39","1.723.465,45","3.273.456,16",DV
06/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"418.622,69",DV,"381.274,13","411.089,03","388.807,79",DV
06/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"375.128,79",DV,"353.064,92","375.128,79","353.064,92",DV
06/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"290.678,68",DV,"340.756,46","375.128,79","256.306,35",DV
06/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"34.857,59",DV,"4.892,05","0,00","39.749,64",DV
06/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"49.592,52",DV,"7.416,41","0,00","57.008,93",DV
06/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"28.142,94",DV,"12.450,33","20.609,28","19.983,99",DV
06/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"15.350,96",DV,"15.758,88","15.350,96","15.758,88",DV
06/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"15.350,96",DV,"15.758,88","15.350,96","15.758,88",DV
06/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020203000000,PARTICIPAÇÃO NO PGA,"0,00",DV,"892.720,06","892.720,06","0,00",DV
06/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
06/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"310.917,59",DV,"297.358,49","310.917,59","297.358,49",DV
06/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"28.070,12",DV,"112.127,71","108.738,77","31.459,06",DV
06/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"28.070,12",DV,"112.127,71","108.738,77","31.459,06",DV
06/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"1.818.078.900,25",DV,"47.301.084,95","42.318.092,44","1.823.061.892,76",DV
06/2025,2991,ACEPREV,1020301000000,TÍTULOS PÚBLICOS,"1.311.103.280,02",DV,"8.427.527,17","0,00","1.319.530.807,19",DV
06/2025,2991,ACEPREV,1020301010000,TÍTULOS PÚBLICOS FEDERAIS,"1.311.103.280,02",DV,"8.427.527,17","0,00","1.319.530.807,19",DV
06/2025,2991,ACEPREV,1020301010100,TESOURO IPCA / NOTA DO TESOURO NACIONAL - NTN,"1.311.103.280,02",DV,"8.427.527,17","0,00","1.319.530.807,19",DV
06/2025,2991,ACEPREV,1020301010101,TESOURO IPCA / NTN-B,"1.311.103.280,02",DV,"8.427.527,17","0,00","1.319.530.807,19",DV
06/2025,2991,ACEPREV,1020301010200,TESOURO SELIC / LETRA FINANCEIRA DO TESOURO - LFT,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020301010300,TESOURO PREFIXADO / LETRA DO TESOURO NACIONAL - LTN,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"119.009.508,61",DV,"8.259.804,73","14.984.449,04","112.284.864,30",DV
06/2025,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"78.670.642,03",DV,"486.599,37","71.674,64","79.085.566,76",DV
06/2025,2991,ACEPREV,1020302010100,LETRA FINANCEIRA - LF,"78.670.642,03",DV,"486.599,37","71.674,64","79.085.566,76",DV
06/2025,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020302010300,DEPÓSITO A PRAZO COM GARANTIA ESPECIAL - DPGE,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020302060000,DEBÊNTURES,"50.594.081,22",DV,"7.773.205,36","14.912.774,40","43.454.512,18",DV
06/2025,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"36.416.436,19",DV,"7.524.479,78","14.510.378,00","29.430.537,97",DV
06/2025,2991,ACEPREV,1020302060300,DEBÊNTURES DE INFRAESTRUTURA LEI N.º 12.431/2011,"12.627.713,47",DV,"139.900,74","293.571,56","12.474.042,65",DV
06/2025,2991,ACEPREV,1020302060400,DEBÊNTURES DE INFRAESTRUTURA,"1.549.931,56",DV,"108.824,84","108.824,84","1.549.931,56",DV
06/2025,2991,ACEPREV,1020302990000,(-) PERDAS ESTIMADAS - ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
06/2025,2991,ACEPREV,1020302990600,(-) DEBÊNTURES,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
06/2025,2991,ACEPREV,1020303000000,RENDA VARIÁVEL,"2.940,70",DV,"0,00","0,00","2.940,70",DV
06/2025,2991,ACEPREV,1020303010000,AÇÕES ,"150,00",DV,"0,00","0,00","150,00",DV
06/2025,2991,ACEPREV,1020303020000,BÔNUS DE SUBSCRIÇÃO EM AÇÕES,"2.790,70",DV,"0,00","0,00","2.790,70",DV
06/2025,2991,ACEPREV,1020304000000,FUNDOS DE INVESTIMENTOS,"373.766.252,54",DV,"29.665.529,05","26.535.017,97","376.896.763,62",DV
06/2025,2991,ACEPREV,1020304010000,FUNDO DE RENDA FIXA,"125.578.485,51",DV,"22.537.967,39","22.523.981,85","125.592.471,05",DV
06/2025,2991,ACEPREV,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"4.237.284,67",DV,"359.790,04","656.993,22","3.940.081,49",DV
06/2025,2991,ACEPREV,1020304030100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020304030200,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SUBORDINADA,"4.237.284,67",DV,"359.790,04","656.993,22","3.940.081,49",DV
06/2025,2991,ACEPREV,1020304040000,FUNDO DE AÇÕES,"31.054.208,26",DV,"198.171,61","0,00","31.252.379,87",DV
06/2025,2991,ACEPREV,1020304060000,FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - FIP ,"107.730.482,22",DV,"3.072.665,58","291.501,04","110.511.646,76",DV
06/2025,2991,ACEPREV,1020304060500,MULTIESTRATÉGIA,"104.652.498,21",DV,"2.660.663,07","191.528,86","107.121.632,42",DV
06/2025,2991,ACEPREV,1020304069800,OUTROS FIP,"3.077.984,01",DV,"412.002,51","99.972,18","3.390.014,34",DV
06/2025,2991,ACEPREV,1020304070000,FUNDO MULTIMERCADO ,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020304080000,FUNDO MULTIMERCADO ESTRUTURADO,"82.542.013,54",DV,"3.414.277,78","2.916.306,44","83.039.984,88",DV
06/2025,2991,ACEPREV,1020304100000,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ,"12.822.364,08",DV,"82.656,65","16.361,40","12.888.659,33",DV
06/2025,2991,ACEPREV,1020304110000,FUNDO DE INVESTIMENTO NO EXTERIOR,"9.801.414,26",DV,"0,00","129.874,02","9.671.540,24",DV
06/2025,2991,ACEPREV,1020304110300,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR,"9.801.414,26",DV,"0,00","129.874,02","9.671.540,24",DV
06/2025,2991,ACEPREV,1020304110301,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR - EXCLUSIVO,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020304110302,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR - NÃO EXCLUSIVO,"9.801.414,26",DV,"0,00","129.874,02","9.671.540,24",DV
06/2025,2991,ACEPREV,1020307000000,INVESTIMENTOS EM IMÓVEIS,"3.611.000,00",DV,"2.000,00","2.000,00","3.611.000,00",DV
06/2025,2991,ACEPREV,1020307040000,ALUGUÉIS E RENDA,"3.611.000,00",DV,"2.000,00","2.000,00","3.611.000,00",DV
06/2025,2991,ACEPREV,1020307040200,LOCADOS A PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1020307040300,LOCADOS A TERCEIROS,"3.611.000,00",DV,"2.000,00","2.000,00","3.611.000,00",DV
06/2025,2991,ACEPREV,1020308000000,OPERAÇÕES COM PARTICIPANTES,"10.585.918,38",DV,"946.224,00","796.625,43","10.735.516,95",DV
06/2025,2991,ACEPREV,1020308010000,EMPRÉSTIMOS A PARTICIPANTES,"10.585.918,38",DV,"946.224,00","796.625,43","10.735.516,95",DV
06/2025,2991,ACEPREV,1020308010100,EMPRÉSTIMOS,"10.585.918,38",DV,"946.224,00","796.625,43","10.735.516,95",DV
06/2025,2991,ACEPREV,1030000000000,IMOBILIZADO E INTANGÍVEL,"43.353,04",DV,"0,00","2.013,38","41.339,66",DV
06/2025,2991,ACEPREV,1030100000000,IMOBILIZADO,"43.353,04",DV,"0,00","2.013,38","41.339,66",DV
06/2025,2991,ACEPREV,1030101000000,OPERACIONAL CORPÓREO,"43.353,04",DV,"0,00","2.013,38","41.339,66",DV
06/2025,2991,ACEPREV,1030101010000,BENS MÓVEIS,"43.353,04",DV,"0,00","2.013,38","41.339,66",DV
06/2025,2991,ACEPREV,1030200000000,INTANGÍVEL,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1030201000000,"GASTOS COM IMPLANTAÇÃO, REORGANIZAÇÃO E DESENVOLVIMENTO","0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,1030202000000,FOMENTO,"0,00",DV,"0,00","0,00","0,00",DV
06/2025,2991,ACEPREV,2000000000000,PASSIVO,"1.821.739.380,38",CR,"36.321.471,43","41.562.092,23","1.826.980.001,18",CR
06/2025,2991,ACEPREV,2010000000000,EXIGÍVEL OPERACIONAL,"2.537.968,70",CR,"23.447.420,37","23.224.207,64","2.314.755,97",CR
