Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
10/2025,2991,ACEPREV,1000000000000,ATIVO,"1.845.524.500,86",DV,"76.768.522,76","69.106.146,66","1.853.186.876,96",DV
10/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"86.810,69",DV,"31.526.670,56","31.554.301,31","59.179,94",DV
10/2025,2991,ACEPREV,1010100000000,IMEDIATO,"86.810,69",DV,"27.469.558,65","27.497.189,40","59.179,94",DV
10/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"4.057.111,91","4.057.111,91","0,00",DV
10/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.845.402.390,65",DV,"45.241.852,20","37.549.831,97","1.853.094.410,88",DV
10/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"140.669,14",DV,"2.724.655,27","2.667.477,27","197.847,14",DV
10/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"97.579,45",DV,"2.723.888,03","2.666.571,04","154.896,44",DV
10/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"97.579,45",DV,"2.723.888,03","2.666.571,04","154.896,44",DV
10/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"12.158,42",DV,"1.144.270,25","1.144.270,25","12.158,42",DV
10/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"36.730,32",DV,"1.518.361,45","1.458.565,48","96.526,29",DV
10/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"43.586,71",DV,"54.552,33","57.031,31","41.107,73",DV
10/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"5.104,00",DV,"6.704,00","6.704,00","5.104,00",DV
10/2025,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"27.243,70",DV,"0,00","0,00","27.243,70",DV
10/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.845,99",DV,"767,24","906,23","15.707,00",DV
10/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.845,99",DV,"767,24","906,23","15.707,00",DV
10/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.311.794,74",DV,"917.846,45","901.571,52","3.328.069,67",DV
10/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"399.843,50",DV,"410.299,46","384.571,95","425.571,01",DV
10/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"352.794,38",DV,"353.631,62","352.794,38","353.631,62",DV
10/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"219.500,56",DV,"340.756,46","352.794,38","207.462,64",DV
10/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"54.237,54",DV,"4.382,19","0,00","58.619,73",DV
10/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"79.056,28",DV,"8.492,97","0,00","87.549,25",DV
10/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"30.179,56",DV,"33.245,61","14.908,01","48.517,16",DV
10/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"16.869,56",DV,"23.422,23","16.869,56","23.422,23",DV
10/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"16.869,56",DV,"23.422,23","16.869,56","23.422,23",DV
10/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020203000000,PARTICIPAÇÃO NO PGA,"0,00",DV,"80.145,23","80.145,23","0,00",DV
10/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
10/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"324.690,50",DV,"304.098,52","324.690,50","304.098,52",DV
10/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"31.429,92",DV,"123.303,24","112.163,84","42.569,32",DV
10/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"31.429,92",DV,"123.303,24","112.163,84","42.569,32",DV
10/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"1.841.949.926,77",DV,"41.599.350,48","33.980.783,18","1.849.568.494,07",DV
10/2025,2991,ACEPREV,1020301000000,TÍTULOS PÚBLICOS,"1.324.859.899,84",DV,"11.376.407,04","1.283.268,94","1.334.953.037,94",DV
10/2025,2991,ACEPREV,1020301010000,TÍTULOS PÚBLICOS FEDERAIS,"1.324.859.899,84",DV,"11.376.407,04","1.283.268,94","1.334.953.037,94",DV
10/2025,2991,ACEPREV,1020301010100,TESOURO IPCA / NOTA DO TESOURO NACIONAL - NTN,"1.324.218.279,51",DV,"11.376.392,90","641.634,47","1.334.953.037,94",DV
10/2025,2991,ACEPREV,1020301010101,TESOURO IPCA / NTN-B,"1.324.218.279,51",DV,"11.376.392,90","641.634,47","1.334.953.037,94",DV
10/2025,2991,ACEPREV,1020301010200,TESOURO SELIC / LETRA FINANCEIRA DO TESOURO - LFT,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020301010300,TESOURO PREFIXADO / LETRA DO TESOURO NACIONAL - LTN,"641.620,33",DV,"14,14","641.634,47","0,00",DV
10/2025,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"113.971.093,95",DV,"1.847.405,60","775.879,08","115.042.620,47",DV
10/2025,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"80.303.151,62",DV,"865.361,95","0,00","81.168.513,57",DV
10/2025,2991,ACEPREV,1020302010100,LETRA FINANCEIRA - LF,"80.303.151,62",DV,"865.361,95","0,00","81.168.513,57",DV
10/2025,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020302010300,DEPÓSITO A PRAZO COM GARANTIA ESPECIAL - DPGE,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020302060000,DEBÊNTURES,"43.923.156,97",DV,"982.043,65","775.879,08","44.129.321,54",DV
10/2025,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"29.991.853,05",DV,"832.798,40","640.325,38","30.184.326,07",DV
10/2025,2991,ACEPREV,1020302060300,DEBÊNTURES DE INFRAESTRUTURA LEI N.º 12.431/2011,"12.384.258,51",DV,"15.571,66","4,16","12.399.826,01",DV
10/2025,2991,ACEPREV,1020302060400,DEBÊNTURES DE INFRAESTRUTURA,"1.547.045,41",DV,"133.673,59","135.549,54","1.545.169,46",DV
10/2025,2991,ACEPREV,1020302990000,(-) PERDAS ESTIMADAS - ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
10/2025,2991,ACEPREV,1020302990600,(-) DEBÊNTURES,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
10/2025,2991,ACEPREV,1020303000000,RENDA VARIÁVEL,"2.940,70",DV,"0,00","0,00","2.940,70",DV
10/2025,2991,ACEPREV,1020303010000,AÇÕES ,"150,00",DV,"0,00","0,00","150,00",DV
10/2025,2991,ACEPREV,1020303020000,BÔNUS DE SUBSCRIÇÃO EM AÇÕES,"2.790,70",DV,"0,00","0,00","2.790,70",DV
10/2025,2991,ACEPREV,1020304000000,FUNDOS DE INVESTIMENTOS,"387.759.159,89",DV,"27.409.336,91","31.059.757,99","384.108.738,81",DV
10/2025,2991,ACEPREV,1020304010000,FUNDO DE RENDA FIXA,"108.432.754,78",DV,"19.696.937,65","27.006.941,56","101.122.750,87",DV
10/2025,2991,ACEPREV,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"2.642.807,22",DV,"614.198,08","1.180.907,44","2.076.097,86",DV
10/2025,2991,ACEPREV,1020304030100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
10/2025,2991,ACEPREV,1020304030200,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SUBORDINADA,"2.642.807,22",DV,"614.198,08","1.180.907,44","2.076.097,86",DV
