Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
01/2026,2991,ACEPREV,1000000000000,ATIVO,"1.866.637.257,13",DV,"67.518.380,67","55.528.032,51","1.878.627.605,29",DV
01/2026,2991,ACEPREV,1010000000000,DISPONÍVEL,"426.599,55",DV,"26.888.327,90","27.261.657,52","53.269,93",DV
01/2026,2991,ACEPREV,1010100000000,IMEDIATO,"426.599,55",DV,"23.149.753,80","23.523.083,42","53.269,93",DV
01/2026,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"3.738.574,10","3.738.574,10","0,00",DV
01/2026,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.866.181.398,20",DV,"40.630.052,77","28.264.361,61","1.878.547.089,36",DV
01/2026,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"347.263,22",DV,"2.985.084,62","3.149.307,40","183.040,44",DV
01/2026,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"304.609,54",DV,"2.983.757,29","3.148.214,52","140.152,31",DV
01/2026,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"304.609,54",DV,"2.983.757,29","3.148.214,52","140.152,31",DV
01/2026,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"40,35",DV,"1.247.510,99","1.234.725,67","12.825,67",DV
01/2026,2991,ACEPREV,1020101010300,PARTICIPANTES,"220.089,68",DV,"1.659.975,00","1.818.377,55","61.687,13",DV
01/2026,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"79.375,51",DV,"71.167,30","90.007,30","60.535,51",DV
01/2026,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"5.104,00",DV,"5.104,00","5.104,00","5.104,00",DV
01/2026,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
01/2026,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
01/2026,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"27.243,70",DV,"0,00","0,00","27.243,70",DV
01/2026,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.409,98",DV,"1.327,33","1.092,88","15.644,43",DV
01/2026,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.409,98",DV,"1.327,33","1.092,88","15.644,43",DV
01/2026,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"2.576.983,23",DV,"2.008.504,09","1.263.511,77","3.321.975,55",DV
01/2026,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"21.073,33",DV,"1.102.898,70","741.178,43","382.793,60",DV
01/2026,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"0,00",DV,"1.061.099,58","706.948,82","354.150,76",DV
01/2026,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"0,00",DV,"1.022.947,14","706.948,82","315.998,32",DV
01/2026,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"0,00",DV,"14.065,67","0,00","14.065,67",DV
01/2026,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"0,00",DV,"24.086,77","0,00","24.086,77",DV
01/2026,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"21.073,33",DV,"6.729,63","16.682,41","11.120,55",DV
01/2026,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
01/2026,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"0,00",DV,"35.069,49","17.547,20","17.522,29",DV
01/2026,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"0,00",DV,"35.069,49","17.547,20","17.522,29",DV
01/2026,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
01/2026,2991,ACEPREV,1020203000000,PARTICIPAÇÃO NO PGA,"0,00",DV,"42.233,03","42.233,03","0,00",DV
