Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
01/2025,2991,ACEPREV,1000000000000,ATIVO,"1.765.553.593,83",DV,"102.091.238,56","94.608.649,83","1.773.036.182,56",DV
01/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"247.447,79",DV,"42.942.863,71","43.094.085,90","96.225,60",DV
01/2025,2991,ACEPREV,1010100000000,IMEDIATO,"247.447,79",DV,"39.948.311,17","40.099.533,36","96.225,60",DV
01/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"2.994.552,54","2.994.552,54","0,00",DV
01/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.765.252.410,73",DV,"59.148.374,85","51.512.304,30","1.772.888.481,28",DV
01/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"1.945.591,40",DV,"2.602.041,76","4.432.137,91","115.495,25",DV
01/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"1.905.386,71",DV,"2.599.873,58","4.428.493,33","76.766,96",DV
01/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"1.905.386,71",DV,"2.599.873,58","4.428.493,33","76.766,96",DV
01/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"1.800.040,35",DV,"1.120.811,78","2.906.519,54","14.332,59",DV
01/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"12.365,77",DV,"1.417.472,51","1.410.124,65","19.713,63",DV
01/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"92.980,59",DV,"55.424,29","105.684,14","42.720,74",DV
01/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"0,00",DV,"6.165,00","6.165,00","0,00",DV
01/2025,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
01/2025,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
01/2025,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"22.879,05",DV,"0,00","0,00","22.879,05",DV
01/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"17.325,64",DV,"2.168,18","3.644,58","15.849,24",DV
01/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"17.325,64",DV,"2.168,18","3.644,58","15.849,24",DV
01/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"2.562.873,58",DV,"1.888.630,53","1.188.257,18","3.263.246,93",DV
01/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"6.995,44",DV,"1.048.518,50","696.970,07","358.543,87",DV
