Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
11/2025,2991,ACEPREV,1000000000000,ATIVO,"1.853.186.876,96",DV,"103.892.316,06","94.774.392,70","1.862.304.800,32",DV
11/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"59.179,94",DV,"38.443.586,76","38.438.759,17","64.007,53",DV
11/2025,2991,ACEPREV,1010100000000,IMEDIATO,"59.179,94",DV,"36.549.102,69","36.544.275,10","64.007,53",DV
11/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"1.894.484,07","1.894.484,07","0,00",DV
11/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.853.094.410,88",DV,"65.448.729,30","56.333.620,15","1.862.209.520,03",DV
11/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"197.847,14",DV,"2.769.682,40","2.758.975,60","208.553,94",DV
11/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"154.896,44",DV,"2.731.722,12","2.720.817,62","165.800,94",DV
11/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"154.896,44",DV,"2.731.722,12","2.720.817,62","165.800,94",DV
11/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"12.158,42",DV,"1.143.173,84","1.143.173,84","12.158,42",DV
11/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"96.526,29",DV,"1.510.451,88","1.520.693,54","86.284,63",DV
11/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"41.107,73",DV,"51.892,40","50.746,24","42.253,89",DV
11/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"5.104,00",DV,"26.204,00","6.204,00","25.104,00",DV
11/2025,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"27.243,70",DV,"0,00","0,00","27.243,70",DV
11/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.707,00",DV,"37.960,28","38.157,98","15.509,30",DV
11/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.707,00",DV,"37.960,28","38.157,98","15.509,30",DV
11/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.328.069,67",DV,"889.229,23","898.058,20","3.319.240,70",DV
11/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"425.571,01",DV,"389.670,82","395.905,81","419.336,02",DV
11/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"353.631,62",DV,"354.187,59","353.631,62","354.187,59",DV
11/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"207.462,64",DV,"340.756,46","353.631,62","194.587,48",DV
11/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"58.619,73",DV,"5.691,91","0,00","64.311,64",DV
11/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"87.549,25",DV,"7.739,22","0,00","95.288,47",DV
11/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"48.517,16",DV,"17.904,52","18.851,96","47.569,72",DV
11/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"23.422,23",DV,"17.578,71","23.422,23","17.578,71",DV
11/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"23.422,23",DV,"17.578,71","23.422,23","17.578,71",DV
11/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
11/2025,2991,ACEPREV,1020203000000,PARTICIPAÇÃO NO PGA,"0,00",DV,"77.039,63","77.039,63","0,00",DV
11/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
11/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"304.098,52",DV,"301.773,29","304.098,52","301.773,29",DV
11/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"42.569,32",DV,"120.745,49","121.014,24","42.300,57",DV
11/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"42.569,32",DV,"120.745,49","121.014,24","42.300,57",DV
11/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"1.849.568.494,07",DV,"61.789.817,67","52.676.586,35","1.858.681.725,39",DV
11/2025,2991,ACEPREV,1020301000000,TÍTULOS PÚBLICOS,"1.334.953.037,94",DV,"24.392.808,45","32.957.155,22","1.326.388.691,17",DV
11/2025,2991,ACEPREV,1020301010000,TÍTULOS PÚBLICOS FEDERAIS,"1.334.953.037,94",DV,"24.392.808,45","32.957.155,22","1.326.388.691,17",DV
11/2025,2991,ACEPREV,1020301010100,TESOURO IPCA / NOTA DO TESOURO NACIONAL - NTN,"1.334.953.037,94",DV,"24.392.808,45","32.957.155,22","1.326.388.691,17",DV
