Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
04/2025,2991,ACEPREV,1000000000000,ATIVO,"1.800.330.449,98",DV,"141.594.023,57","130.524.157,80","1.811.400.315,75",DV
04/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"54.730,50",DV,"54.708.516,92","52.692.570,83","2.070.676,59",DV
04/2025,2991,ACEPREV,1010100000000,IMEDIATO,"54.730,50",DV,"52.802.156,96","50.786.210,87","2.070.676,59",DV
04/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"1.906.359,96","1.906.359,96","0,00",DV
04/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.800.228.339,68",DV,"86.885.506,65","77.829.573,59","1.809.284.272,74",DV
04/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"134.938,58",DV,"2.635.938,08","2.660.573,14","110.303,52",DV
04/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"96.426,02",DV,"2.634.400,59","2.658.957,74","71.868,87",DV
04/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"96.426,02",DV,"2.634.400,59","2.658.957,74","71.868,87",DV
04/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"12.548,40",DV,"1.130.314,12","1.132.724,90","10.137,62",DV
04/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"20.113,43",DV,"1.462.016,38","1.445.584,44","36.545,37",DV
04/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"46.299,59",DV,"38.987,59","60.101,30","25.185,88",DV
04/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"17.464,60",DV,"3.082,50","20.547,10","0,00",DV
