Textbox16,Textbox15,Textbox13
Data da Extração: ,Patrocínios Predominantes: Privada / Pública Federal / Pública Estadual / Pública Municipal / Instituidor,"Valores em R$ 1,00"

DATA_COMP,NU_MATRICULA_EFPC,SG_EFPC,NUM_CONTA,NM_CONTA,VL_SALDO_INICIAL,CS_NATUREZA_LANCAMENTO,VL_DEBITO,VL_CREDITO,VL_SALDO_FINAL,CS_NATUREZA_SALDO_FINAL
09/2025,2991,ACEPREV,1000000000000,ATIVO,"1.838.521.134,98",DV,"61.797.552,88","54.794.187,00","1.845.524.500,86",DV
09/2025,2991,ACEPREV,1010000000000,DISPONÍVEL,"61.104,66",DV,"26.926.291,15","26.900.585,12","86.810,69",DV
09/2025,2991,ACEPREV,1010100000000,IMEDIATO,"61.104,66",DV,"22.665.738,09","22.640.032,06","86.810,69",DV
09/2025,2991,ACEPREV,1010200000000,VINCULADO,"0,00",DV,"4.260.553,06","4.260.553,06","0,00",DV
09/2025,2991,ACEPREV,1020000000000,REALIZÁVEL,"1.838.422.717,42",DV,"34.871.261,73","27.891.588,50","1.845.402.390,65",DV
09/2025,2991,ACEPREV,1020100000000,GESTÃO PREVIDENCIAL,"156.655,43",DV,"2.671.192,36","2.687.178,65","140.669,14",DV
09/2025,2991,ACEPREV,1020101000000,RECURSOS A RECEBER,"118.253,96",DV,"2.649.709,27","2.670.383,78","97.579,45",DV
09/2025,2991,ACEPREV,1020101010000,CONTRIBUIÇÕES DO MÊS,"118.253,96",DV,"2.649.709,27","2.670.383,78","97.579,45",DV
09/2025,2991,ACEPREV,1020101010100,PATROCINADOR(ES),"12.158,42",DV,"1.137.907,58","1.137.907,58","12.158,42",DV
09/2025,2991,ACEPREV,1020101010300,PARTICIPANTES,"53.085,46",DV,"1.450.661,08","1.467.016,22","36.730,32",DV
09/2025,2991,ACEPREV,1020101010400,AUTOPATROCINADOS,"47.406,08",DV,"55.036,61","58.855,98","43.586,71",DV
09/2025,2991,ACEPREV,1020101010500,PARTICIPANTES EM BPD,"5.604,00",DV,"6.104,00","6.604,00","5.104,00",DV
09/2025,2991,ACEPREV,1020101020000,CONTRIBUIÇÕES EM ATRASO,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020101020100,PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020105000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"22.879,05",DV,"4.364,65","0,00","27.243,70",DV
09/2025,2991,ACEPREV,1020199000000,OUTROS REALIZÁVEIS - PREVIDENCIAL,"15.522,42",DV,"17.118,44","16.794,87","15.845,99",DV
09/2025,2991,ACEPREV,1020199010000,OUTROS REALIZÁVEIS,"15.522,42",DV,"17.118,44","16.794,87","15.845,99",DV
09/2025,2991,ACEPREV,1020200000000,GESTÃO ADMINISTRATIVA,"3.296.286,09",DV,"850.578,87","835.070,22","3.311.794,74",DV
09/2025,2991,ACEPREV,1020201000000,CONTAS A RECEBER,"405.778,07",DV,"376.859,21","382.793,78","399.843,50",DV
09/2025,2991,ACEPREV,1020201010000,CONTRIBUIÇÕES PARA CUSTEIO DO MÊS,"353.159,07",DV,"352.794,38","353.159,07","352.794,38",DV
09/2025,2991,ACEPREV,1020201010100,PATROCINADOR(ES),"231.903,17",DV,"340.756,46","353.159,07","219.500,56",DV
09/2025,2991,ACEPREV,1020201010400,AUTOPATROCINADOS,"49.367,35",DV,"4.870,19","0,00","54.237,54",DV
09/2025,2991,ACEPREV,1020201010500,PARTICIPANTES EM BPD,"71.888,55",DV,"7.167,73","0,00","79.056,28",DV
09/2025,2991,ACEPREV,1020201040000,RESPONSABILIDADE DE EMPREGADOS,"36.095,37",DV,"7.195,27","13.111,08","30.179,56",DV
09/2025,2991,ACEPREV,1020201050000,RESPONSABILIDADE DE TERCEIROS,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020201990000,OUTROS RECURSOS A RECEBER - ADMINISTRATIVA,"16.523,63",DV,"16.869,56","16.523,63","16.869,56",DV
09/2025,2991,ACEPREV,1020201990100,OUTROS RECURSOS A RECEBER,"16.523,63",DV,"16.869,56","16.523,63","16.869,56",DV
09/2025,2991,ACEPREV,1020202000000,DESPESAS ANTECIPADAS,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020203000000,PARTICIPAÇÃO NO PGA,"0,00",DV,"36.937,32","36.937,32","0,00",DV
09/2025,2991,ACEPREV,1020204000000,DEPÓSITOS JUDICIAIS / RECURSAIS,"2.555.830,82",DV,"0,00","0,00","2.555.830,82",DV
09/2025,2991,ACEPREV,1020206000000,CUSTEIO ADMINISTRATIVO DOS INVESTIMENTOS,"302.137,48",DV,"324.690,50","302.137,48","324.690,50",DV
09/2025,2991,ACEPREV,1020299000000,OUTROS REALIZÁVEIS - ADMINISTRATIVA,"32.539,72",DV,"112.091,84","113.201,64","31.429,92",DV
09/2025,2991,ACEPREV,1020299010000,OUTROS REALIZÁVEIS,"32.539,72",DV,"112.091,84","113.201,64","31.429,92",DV
09/2025,2991,ACEPREV,1020300000000,INVESTIMENTOS,"1.834.969.775,90",DV,"31.349.490,50","24.369.339,63","1.841.949.926,77",DV
09/2025,2991,ACEPREV,1020301000000,TÍTULOS PÚBLICOS,"1.315.177.007,46",DV,"9.682.892,38","0,00","1.324.859.899,84",DV
09/2025,2991,ACEPREV,1020301010000,TÍTULOS PÚBLICOS FEDERAIS,"1.315.177.007,46",DV,"9.682.892,38","0,00","1.324.859.899,84",DV
09/2025,2991,ACEPREV,1020301010100,TESOURO IPCA / NOTA DO TESOURO NACIONAL - NTN,"1.315.177.007,46",DV,"9.041.272,05","0,00","1.324.218.279,51",DV
09/2025,2991,ACEPREV,1020301010101,TESOURO IPCA / NTN-B,"1.315.177.007,46",DV,"9.041.272,05","0,00","1.324.218.279,51",DV
09/2025,2991,ACEPREV,1020301010200,TESOURO SELIC / LETRA FINANCEIRA DO TESOURO - LFT,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020301010300,TESOURO PREFIXADO / LETRA DO TESOURO NACIONAL - LTN,"0,00",DV,"641.620,33","0,00","641.620,33",DV
09/2025,2991,ACEPREV,1020302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"113.623.954,51",DV,"808.143,77","461.004,33","113.971.093,95",DV
09/2025,2991,ACEPREV,1020302010000,TÍTULOS EMITIDOS POR INSTITUIÇÃO FINANCEIRA,"79.913.711,83",DV,"389.439,79","0,00","80.303.151,62",DV
09/2025,2991,ACEPREV,1020302010100,LETRA FINANCEIRA - LF,"79.913.711,83",DV,"389.439,79","0,00","80.303.151,62",DV
09/2025,2991,ACEPREV,1020302010200,CERTIFICADO DE DEPÓSITO BANCÁRIO - CDB,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020302010300,DEPÓSITO A PRAZO COM GARANTIA ESPECIAL - DPGE,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020302019800,OUTROS TÍTULOS,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020302060000,DEBÊNTURES,"43.965.457,32",DV,"418.703,98","461.004,33","43.923.156,97",DV
09/2025,2991,ACEPREV,1020302060100,DEBÊNTURES DE EMPRESAS S.A. ABERTA,"29.911.807,03",DV,"126.373,75","46.327,73","29.991.853,05",DV
09/2025,2991,ACEPREV,1020302060300,DEBÊNTURES DE INFRAESTRUTURA LEI N.º 12.431/2011,"12.505.884,08",DV,"157.109,21","278.734,78","12.384.258,51",DV
09/2025,2991,ACEPREV,1020302060400,DEBÊNTURES DE INFRAESTRUTURA,"1.547.766,21",DV,"135.221,02","135.941,82","1.547.045,41",DV
09/2025,2991,ACEPREV,1020302990000,(-) PERDAS ESTIMADAS - ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
09/2025,2991,ACEPREV,1020302990600,(-) DEBÊNTURES,"-10.255.214,64",CR,"0,00","0,00","-10.255.214,64",CR
09/2025,2991,ACEPREV,1020303000000,RENDA VARIÁVEL,"2.940,70",DV,"0,00","0,00","2.940,70",DV
09/2025,2991,ACEPREV,1020303010000,AÇÕES ,"150,00",DV,"0,00","0,00","150,00",DV
09/2025,2991,ACEPREV,1020303020000,BÔNUS DE SUBSCRIÇÃO EM AÇÕES,"2.790,70",DV,"0,00","0,00","2.790,70",DV
09/2025,2991,ACEPREV,1020304000000,FUNDOS DE INVESTIMENTOS,"391.192.220,34",DV,"19.338.587,04","22.771.647,49","387.759.159,89",DV
09/2025,2991,ACEPREV,1020304010000,FUNDO DE RENDA FIXA,"115.008.034,68",DV,"14.023.574,91","20.598.854,81","108.432.754,78",DV
09/2025,2991,ACEPREV,1020304030000,FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIO - FIDC ,"3.265.495,26",DV,"674.190,04","1.296.878,08","2.642.807,22",DV
09/2025,2991,ACEPREV,1020304030100,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SENIOR,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020304030200,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PADRONIZADO - FIDC - COTA SUBORDINADA,"3.265.495,26",DV,"674.190,04","1.296.878,08","2.642.807,22",DV
09/2025,2991,ACEPREV,1020304040000,FUNDO DE AÇÕES,"54.458.309,89",DV,"1.612.255,22","0,00","56.070.565,11",DV
09/2025,2991,ACEPREV,1020304060000,FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES - FIP ,"111.650.973,03",DV,"772.918,95","620.265,99","111.803.625,99",DV
09/2025,2991,ACEPREV,1020304060500,MULTIESTRATÉGIA,"107.414.199,22",DV,"539.694,75","494.374,74","107.459.519,23",DV
09/2025,2991,ACEPREV,1020304069800,OUTROS FIP,"4.236.773,81",DV,"233.224,20","125.891,25","4.344.106,76",DV
09/2025,2991,ACEPREV,1020304070000,FUNDO MULTIMERCADO ,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020304080000,FUNDO MULTIMERCADO ESTRUTURADO,"84.245.307,35",DV,"1.706.934,04","226.753,27","85.725.488,12",DV
09/2025,2991,ACEPREV,1020304100000,FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII ,"13.005.735,19",DV,"247.402,26","28.895,34","13.224.242,11",DV
09/2025,2991,ACEPREV,1020304110000,FUNDO DE INVESTIMENTO NO EXTERIOR,"9.558.364,94",DV,"301.311,62","0,00","9.859.676,56",DV
09/2025,2991,ACEPREV,1020304110300,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR,"9.558.364,94",DV,"301.311,62","0,00","9.859.676,56",DV
09/2025,2991,ACEPREV,1020304110301,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR - EXCLUSIVO,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020304110302,FUNDO DE INVESTIMENTO - SUFIXO INVESTIMENTO NO EXTERIOR - NÃO EXCLUSIVO,"9.558.364,94",DV,"301.311,62","0,00","9.859.676,56",DV
09/2025,2991,ACEPREV,1020307000000,INVESTIMENTOS EM IMÓVEIS,"3.611.000,00",DV,"2.000,00","2.000,00","3.611.000,00",DV
09/2025,2991,ACEPREV,1020307040000,ALUGUÉIS E RENDA,"3.611.000,00",DV,"2.000,00","2.000,00","3.611.000,00",DV
09/2025,2991,ACEPREV,1020307040200,LOCADOS A PATROCINADOR(ES),"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1020307040300,LOCADOS A TERCEIROS,"3.611.000,00",DV,"2.000,00","2.000,00","3.611.000,00",DV
09/2025,2991,ACEPREV,1020308000000,OPERAÇÕES COM PARTICIPANTES,"11.362.652,89",DV,"1.517.867,31","1.134.687,81","11.745.832,39",DV
09/2025,2991,ACEPREV,1020308010000,EMPRÉSTIMOS A PARTICIPANTES,"11.362.652,89",DV,"1.517.867,31","1.134.687,81","11.745.832,39",DV
09/2025,2991,ACEPREV,1020308010100,EMPRÉSTIMOS,"11.362.652,89",DV,"1.517.867,31","1.134.687,81","11.745.832,39",DV
09/2025,2991,ACEPREV,1030000000000,IMOBILIZADO E INTANGÍVEL,"37.312,90",DV,"0,00","2.013,38","35.299,52",DV
09/2025,2991,ACEPREV,1030100000000,IMOBILIZADO,"37.312,90",DV,"0,00","2.013,38","35.299,52",DV
09/2025,2991,ACEPREV,1030101000000,OPERACIONAL CORPÓREO,"37.312,90",DV,"0,00","2.013,38","35.299,52",DV
09/2025,2991,ACEPREV,1030101010000,BENS MÓVEIS,"37.312,90",DV,"0,00","2.013,38","35.299,52",DV
09/2025,2991,ACEPREV,1030200000000,INTANGÍVEL,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1030201000000,"GASTOS COM IMPLANTAÇÃO, REORGANIZAÇÃO E DESENVOLVIMENTO","0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,1030202000000,FOMENTO,"0,00",DV,"0,00","0,00","0,00",DV
09/2025,2991,ACEPREV,2000000000000,PASSIVO,"1.838.521.134,98",CR,"30.222.073,59","37.225.439,47","1.845.524.500,86",CR
09/2025,2991,ACEPREV,2010000000000,EXIGÍVEL OPERACIONAL,"2.440.689,59",CR,"14.466.758,28","14.825.945,54","2.799.876,85",CR
09/2025,2991,ACEPREV,2010100000000,GESTÃO PREVIDENCIAL,"985.951,56",CR,"9.742.021,57","9.920.694,49","1.164.624,48",CR
09/2025,2991,ACEPREV,2010101000000,BENEFÍCIOS A PAGAR,"8.770,37",CR,"8.629.888,92","8.629.924,75","8.806,20",CR
09/2025,2991,ACEPREV,2010102000000,RETENÇÕES A RECOLHER,"555.134,18",CR,"555.134,18","717.120,02","717.120,02",CR
09/2025,2991,ACEPREV,2010103000000,RECURSOS ANTECIPADOS,"21.535,05",CR,"0,00","0,00","21.535,05",CR
09/2025,2991,ACEPREV,2010103990000,OUTROS RECURSOS ANTECIPADOS,"21.535,05",CR,"0,00","0,00","21.535,05",CR
09/2025,2991,ACEPREV,2010199000000,OUTRAS EXIGIBILIDADES,"400.511,96",CR,"556.998,47","573.649,72","417.163,21",CR
09/2025,2991,ACEPREV,2010200000000,GESTÃO ADMINISTRATIVA,"1.088.909,49",CR,"893.596,56","1.028.535,91","1.223.848,84",CR
09/2025,2991,ACEPREV,2010201000000,CONTAS A PAGAR,"893.921,51",CR,"617.885,04","749.918,85","1.025.955,32",CR
09/2025,2991,ACEPREV,2010202000000,RETENÇÕES A RECOLHER,"161.283,35",CR,"163.815,25","165.089,99","162.558,09",CR
09/2025,2991,ACEPREV,2010204000000,TRIBUTOS A RECOLHER,"33.317,72",CR,"111.591,76","112.898,99","34.624,95",CR
09/2025,2991,ACEPREV,2010299000000,OUTRAS EXIGIBILIDADES,"386,91",CR,"304,51","628,08","710,48",CR
09/2025,2991,ACEPREV,2010300000000,INVESTIMENTOS,"365.828,54",CR,"3.831.140,15","3.876.715,14","411.403,53",CR
09/2025,2991,ACEPREV,2010301000000,TÍTULOS PÚBLICOS,"0,00",CR,"641.620,32","641.620,32","0,00",CR
09/2025,2991,ACEPREV,2010302000000,ATIVOS FINANCEIROS DE CRÉDITO PRIVADO,"0,00",CR,"0,00","0,00","0,00",CR
09/2025,2991,ACEPREV,2010304000000,FUNDOS DE INVESTIMENTO,"0,00",CR,"1.454.818,68","1.454.818,68","0,00",CR
09/2025,2991,ACEPREV,2010308000000,OPERAÇÕES COM PARTICIPANTES,"10.165,27",CR,"1.369.529,23","1.390.368,07","31.004,11",CR
09/2025,2991,ACEPREV,2010310000000,TAXA DE ADMINISTRAÇÃO A REPASSAR,"16.523,63",CR,"16.523,63","16.869,56","16.869,56",CR
09/2025,2991,ACEPREV,2010310020000,TAXA DE ADMINISTRAÇÃO DOS EMPRÉSTIMOS E FINANCIAMENTOS A REPASSAR,"16.523,63",CR,"16.523,63","16.869,56","16.869,56",CR
09/2025,2991,ACEPREV,2010399000000,OUTRAS EXIGIBILIDADES,"339.139,64",CR,"348.648,29","373.038,51","363.529,86",CR
09/2025,2991,ACEPREV,2020000000000,EXIGÍVEL CONTINGENCIAL,"7.364.395,21",CR,"190.491,45","55.741,02","7.229.644,78",CR
09/2025,2991,ACEPREV,2020100000000,GESTÃO PREVIDENCIAL,"4.808.564,39",CR,"190.491,45","55.741,02","4.673.813,96",CR
09/2025,2991,ACEPREV,2020101000000,PROVISÃO,"4.808.564,39",CR,"190.491,45","55.741,02","4.673.813,96",CR
09/2025,2991,ACEPREV,2020200000000,GESTÃO ADMINISTRATIVA,"2.555.830,82",CR,"0,00","0,00","2.555.830,82",CR
09/2025,2991,ACEPREV,2020201000000,PROVISÃO,"2.555.830,82",CR,"0,00","0,00","2.555.830,82",CR
09/2025,2991,ACEPREV,2030000000000,PATRIMÔNIO SOCIAL,"1.828.716.050,18",CR,"15.564.823,86","22.343.752,91","1.835.494.979,23",CR
09/2025,2991,ACEPREV,2030100000000,PATRIMÔNIO DE COBERTURA DO PLANO,"1.719.256.227,56",CR,"13.637.064,14","20.836.224,15","1.726.455.387,57",CR
09/2025,2991,ACEPREV,2030101000000,PROVISÕES MATEMÁTICAS,"1.611.925.820,04",CR,"13.621.127,28","20.027.119,50","1.618.331.812,26",CR
09/2025,2991,ACEPREV,2030101010000,BENEFÍCIOS CONCEDIDOS,"1.045.704.475,23",CR,"8.585.436,67","13.089.183,07","1.050.208.221,63",CR
09/2025,2991,ACEPREV,2030101010100,CONTRIBUIÇÃO DEFINIDA,"468.026.600,16",CR,"5.464.406,96","6.488.103,12","469.050.296,32",CR
09/2025,2991,ACEPREV,2030101010101,SALDO DE CONTAS DOS ASSISTIDOS - CONSTITUÍDO,"468.026.600,16",CR,"5.464.406,96","6.488.103,12","469.050.296,32",CR
09/2025,2991,ACEPREV,2030101010200,BENEFÍCIO DEFINIDO ESTRUTURADO EM REGIME DE CAPITALIZAÇÃO,"577.677.875,07",CR,"3.121.029,71","6.601.079,95","581.157.925,31",CR
09/2025,2991,ACEPREV,2030101010201,VALOR ATUAL DOS BENEFÍCIOS FUTUROS PROGRAMADOS - ASSISTIDOS,"459.577.644,28",CR,"2.438.924,98","5.176.582,99","462.315.302,29",CR
09/2025,2991,ACEPREV,2030101010202,VALOR ATUAL DOS BENEFÍCIOS FUTUROS NÃO PROGRAMADOS - ASSISTIDOS,"118.100.230,79",CR,"682.104,73","1.424.496,96","118.842.623,02",CR
09/2025,2991,ACEPREV,2030101020000,BENEFÍCIOS A CONCEDER,"566.221.344,81",CR,"5.035.690,61","6.937.936,43","568.123.590,63",CR
09/2025,2991,ACEPREV,2030101020100,CONTRIBUIÇÃO DEFINIDA,"544.437.915,66",CR,"5.017.474,80","6.776.086,96","546.196.527,82",CR
09/2025,2991,ACEPREV,2030101020101,SALDO DE CONTAS - PARCELA PATROCINADOR(ES)/ INSTITUIDOR(ES),"217.086.196,25",CR,"1.786.382,00","2.572.984,62","217.872.798,87",CR
09/2025,2991,ACEPREV,2030101020102,SALDO DE CONTAS - PARCELA CONSTITUÍDA PELOS PARTICIPANTES,"323.112.176,79",CR,"3.231.092,80","4.167.887,10","324.048.971,09",CR
09/2025,2991,ACEPREV,2030101020103,SALDO DE CONTAS - PARCELA PARTICIPANTES PORTADA DE EFPC,"1.679.107,52",CR,"0,00","14.024,49","1.693.132,01",CR
09/2025,2991,ACEPREV,2030101020104,SALDO DE CONTAS - PARCELA PARTICIPANTES PORTADA DE EAPC,"2.560.435,10",CR,"0,00","21.190,75","2.581.625,85",CR
09/2025,2991,ACEPREV,2030101020200,BENEFÍCIO DEFINIDO ESTRUTURADO EM REGIME DE CAPITALIZAÇÃO PROGRAMADO,"20.570.314,81",CR,"1.307,57","150.992,09","20.719.999,33",CR
09/2025,2991,ACEPREV,2030101020201,VALOR ATUAL DOS BENEFÍCIOS FUTUROS PROGRAMADOS ,"20.754.902,51",CR,"0,00","147.041,04","20.901.943,55",CR
09/2025,2991,ACEPREV,2030101020202,(-)VALOR ATUAL DAS CONTRIBUIÇÕES FUTURAS DOS PATROCINADORES,"-184.587,70",DV,"1.307,57","3.951,05","-181.944,22",DV
09/2025,2991,ACEPREV,2030101020300,BENEFÍCIO DEFINIDO ESTRUTURADO EM REGIME DE CAPITALIZAÇÃO NÃO PROGRAMADO,"1.213.114,34",CR,"16.908,24","10.857,38","1.207.063,48",CR
09/2025,2991,ACEPREV,2030101020301,VALOR ATUAL DOS BENEFÍCIOS FUTUROS NÃO PROGRAMADOS,"1.230.908,92",CR,"16.782,19","10.479,09","1.224.605,82",CR
09/2025,2991,ACEPREV,2030101020302,(-) VALOR ATUAL DAS CONTRIBUIÇÕES FUTURAS DOS PATROCINADORES,"-17.794,58",DV,"126,05","378,29","-17.542,34",DV
09/2025,2991,ACEPREV,2030102000000,EQUILÍBRIO TÉCNICO,"107.330.407,52",CR,"15.936,86","809.104,65","108.123.575,31",CR
09/2025,2991,ACEPREV,2030102010000,RESULTADOS REALIZADOS,"107.330.407,52",CR,"15.936,86","809.104,65","108.123.575,31",CR
09/2025,2991,ACEPREV,2030102010100,SUPERÁVIT TÉCNICO ACUMULADO,"107.330.407,52",CR,"15.936,86","809.104,65","108.123.575,31",CR
09/2025,2991,ACEPREV,2030102010101,RESERVA DE CONTINGÊNCIA,"102.418.294,49",CR,"15.936,86","767.063,14","103.169.420,77",CR
09/2025,2991,ACEPREV,2030102010102,RESERVA ESPECIAL PARA REVISÃO DE PLANO,"4.912.113,03",CR,"0,00","42.041,51","4.954.154,54",CR
09/2025,2991,ACEPREV,2030200000000,FUNDOS,"109.459.822,62",CR,"1.927.759,72","1.507.528,76","109.039.591,66",CR
09/2025,2991,ACEPREV,2030201000000,FUNDOS PREVIDENCIAIS,"103.566.021,10",CR,"1.457.710,21","1.017.069,33","103.125.380,22",CR
09/2025,2991,ACEPREV,2030201010000,REVERSÃO DE SALDO POR EXIGÊNCIA REGULAMENTAR,"31.323.640,52",CR,"1.039.535,27","496.250,26","30.780.355,51",CR
09/2025,2991,ACEPREV,2030201020000,REVISÃO DE PLANO,"1.381,29",CR,"0,00","11,83","1.393,12",CR
09/2025,2991,ACEPREV,2030201030000,OUTROS - PREVISTOS EM NOTA TÉCNICA ATUARIAL,"72.240.999,29",CR,"418.174,94","520.807,24","72.343.631,59",CR
09/2025,2991,ACEPREV,2030202000000,FUNDOS ADMINISTRATIVOS,"5.288.685,47",CR,"470.049,51","475.156,51","5.293.792,47",CR
09/2025,2991,ACEPREV,2030202010000,PLANO DE GESTÃO ADMINISTRATIVA,"5.288.685,47",CR,"433.112,19","438.219,19","5.293.792,47",CR
09/2025,2991,ACEPREV,2030202020000,PARTICIPACÃO NO FUNDO ADMINISTRATIVO PGA,"0,00",CR,"36.937,32","36.937,32","0,00",CR
09/2025,2991,ACEPREV,2030202030000,FUNDO ADMINISTRATIVO COMPARTILHADO,"0,00",CR,"0,00","0,00","0,00",CR
09/2025,2991,ACEPREV,2030203000000,FUNDOS PARA GARANTIA DAS OPERAÇÕES COM PARTICIPANTES,"605.116,05",CR,"0,00","15.302,92","620.418,97",CR
09/2025,2991,ACEPREV,3000000000000,GESTÃO PREVIDENCIAL,"0,00",DV,"31.992.188,28","31.992.188,28","0,00",DV
09/2025,2991,ACEPREV,3010000000000,ADIÇÕES,"21.228.858,40",CR,"1.382,35","2.649.709,27","23.877.185,32",CR
09/2025,2991,ACEPREV,3010100000000,CORRENTES,"20.975.951,27",CR,"1.382,35","2.649.709,27","23.624.278,19",CR
09/2025,2991,ACEPREV,3010101000000,PATROCINADOR(ES),"8.981.380,05",CR,"0,00","1.137.907,58","10.119.287,63",CR
09/2025,2991,ACEPREV,3010101010000,CONTRIBUIÇÕES NORMAIS,"8.981.380,05",CR,"0,00","1.137.907,58","10.119.287,63",CR
09/2025,2991,ACEPREV,3010103000000,PARTICIPANTES,"11.494.026,27",CR,"0,00","1.450.661,08","12.944.687,35",CR
09/2025,2991,ACEPREV,3010103010000,ATIVOS,"11.295.926,27",CR,"0,00","1.429.461,08","12.725.387,35",CR
09/2025,2991,ACEPREV,3010103010100,CONTRIBUIÇÕES NORMAIS,"11.295.926,27",CR,"0,00","1.429.461,08","12.725.387,35",CR
09/2025,2991,ACEPREV,3010103010101,REGULAR,"11.232.312,27",CR,"0,00","1.429.461,08","12.661.773,35",CR
09/2025,2991,ACEPREV,3010103010102,VOLUNTÁRIA,"63.614,00",CR,"0,00","0,00","63.614,00",CR
09/2025,2991,ACEPREV,3010103020000,ASSISTIDOS,"198.100,00",CR,"0,00","21.200,00","219.300,00",CR
