DT_COMPETENCIA;NU_MATRICULA_EFPC;SG_EFPC;IN_ESTAT_PLANO_EFPC;ID_PLANO;CNPB;ID_BENEFICIO;NU_BENEFICIO;NM_BENEFICIO;TE_NIVEL;QT_ANTERIOR;QT_ENTRADAS;QT_SAIDAS;QT_ATUAL;DT_EXTRACAO
202101;1924;PREVI-SIEMENS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1883;PREVIM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2191;SEGURIDADE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1804;PREVICAT;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1482;MULTIBRA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3411;MAIS VIDA PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4621;SUL PREVIDÊNCIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3558;PREVICEL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1612;JOHNSON;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;758;UNILEVERPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1434;EQTPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4594;PREVIDEXXONMOBIL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1171;CAPAF;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;552;FUSESC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;984;SUPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2107;CAVA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1715;PREVDATA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;535;FUSAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1541;GASIUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;326;ELETROS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2066;ULTRAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2004;SAO RAFAEL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3811;MSD PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2333;PREVSAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4831;NÉOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;922;SAO FRANCISCO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1381;FAELCE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4128;VBPP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1273;SOMUPP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2018;SERGUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;237;CERES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1821;FUTURA PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;731;PREVIBAYER;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2926;TECHNOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;241;CIFRAO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3174;VEXTY;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3678;INDUSPREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2021;SIAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;998;TELOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1511;FUNCASAL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3161;FAECES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4311;PREVUNISUL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3928;AVONPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4234;OABPREV-SC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2292;FUNSSEST;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;821;PREVISTIHL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1674;MERCERPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2811;CP PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;206;CARGILLPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2071;UNISYS-PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1599;ISBRE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1571;IBM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4741;FUNPRESP-JUD;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1393;FAPA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3085;SUPRE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1359;PREVI-ERICSSON;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1078;PREVISCANIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;81;BANESES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;919;SAO BERNARDO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3647;FUND. BRASILSAT;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4443;ENERPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;744;PREVIBOSCH;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1781;PREVI/BB;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3321;TRAMONTINAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4769;PREVCOM-MG;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2841;FUNDIAGUA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;309;DESBAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4426;SICOOB PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3366;ROCHEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2302;GERDAU;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1198;CASFAM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1568;GOODYEAR;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4635;FUTURA II;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2721;PREV PEPSICO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;121;BASES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;802;PREVIRB;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1818;PREVI NOVARTIS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;271;ECOS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;165;CABEC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;878;RECKITTPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1911;PREVISC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3349;BOTICARIO PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1208;CBS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3383;FPP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;14;AGROS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2169;BRASILETROS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2659;FABASA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2991;ACEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;941;SERPROS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4091;PREVIG;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4738;RJPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1852;PREVI-GM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2231;FUNDAÇÃO LIBERTAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1105;BRASLIGHT;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2155;PREVIPLAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1732;PREVBEP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2909;GEBSA-PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4181;CAGEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4649;TOYOTA PREVI;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4861;BOSCHPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;117;BANRISUL/FBSS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3041;FACOPAC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;182;CAPEF;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;953;SILIUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4203;FATL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1184;CAPESESP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3531;RBS PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;792;PREVINORTE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1033;PREVIDÊNCIA USIMINAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3825;MULTIPENSIONS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4409;OABPREV-GO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2484;CYAMPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;971;ALPAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4087;PLANEJAR;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4755;PREVES;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4039;KPMG PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4652;MÚTUOPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2213;MAUA PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4666;RAIZPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;312;ECONOMUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4786;PREVNORDESTE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1554;GEIPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1701;PREVCUMMINS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4604;PREVEME II;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;401;FASC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2556;METRUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;611;ITAU UNIBANCO;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;299;DERMINAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1451;FIPECQ;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2823;MULTIPLA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4385;ALBAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4114;CARREFOURPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1537;FUNDAMBRAS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;775;MULTIBRA INSTITUIDOR;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3304;MARCOPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;268;FUNDACAO CORSAN;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3438;ICATUFMP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1261;COMSHELL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4279;QUANTA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;607;INERGUS;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4707;SP-PREVCOM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;504;FUNBEP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;196;CAPOF;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4577;ANABBPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2395;VIKINGPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1479;FORLUZ;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4176;SEBRAE PREVIDENCIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2052;TEXPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1729;PREVDOW;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2172;PREVICOKE;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3945;PFIZER PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;2083;VALIA;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3592;P&G PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1763;DANAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3037;LILLYPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3575;CARBOPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3251;PREVIP;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4813;PREVCOM-BRC;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4844;DF-PREVICOM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;285;FUNDACAO COPEL;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4131;ENERGISAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4101;MBPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4581;EMBRAER PREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;59;INFRAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;1331;EATONPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4801;SCPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4532;ALEPEPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;3126;IFM;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4546;DATUSPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
202101;4827;CURITIBAPREV;EFPC;;;12;17000;Outros Benefícios de Prestação Conituada;FOLHA;;;;;05/10/2021
