202509;14;1980000883;COTAS;4018217.312393000000000;
202509;14;1980000883;COTAS;5776307.085203000000000;
202509;14;2008001083;VL_PG_RC;-166587.720000000000000;
202509;14;2008001083;COTAS;1176312.475046000000000;
202509;14;1980000883;COTAS;2951981.445167000000000;
202509;14;2023001692;COTAS;24560145.426945000000000;
202509;14;2023001692;COTAS;3422618.477121000000000;
202509;14;1980000883;COTAS;3043729.571744000000000;
202509;14;2023001692;COTAS;89240517.831642000000000;03100345000105
202509;14;1980000883;COTAS;2467781.437624000000000;
202509;14;9970000000;COTAS;139569.385219000000000;04875086000157
202509;31;1988003156;COTAS;21064039.066915000000000;
202509;14;1980000883;CAIXA;17903.710000000000000;
202509;14;1980000883;VL_PG_RC;65438.830000000000000;
202509;31;1988003156;COTAS;4166168.456791000000000;
202509;14;2008001083;CAIXA;1500.000000000000000;
202509;14;1980000883;COTAS;2197559.065408000000000;
202509;31;1988003156;COTAS;4837634.349321000000000;
202509;14;2008001083;COTAS;828044.066138000000000;
202509;14;1980000883;OPERACAO_PARTICIPANTE;3320556.530000000000000;
202509;14;2023001692;IMOVEIS;68892575.500000000000000;
202509;14;1980000883;COTAS;8655237.326594000000000;
202509;14;1980000883;COTAS;3200004.861314000000000;
202509;14;1980000883;COTAS;4629642.163043000000000;
202509;14;1980000883;COTAS;12396324.053092000000000;00836258000122
202509;14;1980000883;COTAS;15057965.166236000000000;
202509;14;1980000883;COTAS;6035030.376063000000000;
202509;14;1980000883;COTAS;27163.706673000000000;
202509;14;1980000883;COTAS;2871475.992462000000000;
202509;14;1980000883;COTAS;9316499.088350000000000;
202509;14;1980000883;COTAS;3183322.153027000000000;
202509;14;1980000883;COTAS;5647650.876828000000000;
202509;14;1980000883;COTAS;3608983.751976000000000;
202509;14;2023001692;COTAS;12174093.103182000000000;
202509;14;2008001083;COTAS;4027247.362346000000000;
202509;14;1980000883;COTAS;24409402.039810000000000;04875086000157
202509;14;1980000883;COTAS;3870161.217761000000000;
202509;14;2023001692;COTAS;113848806.870163000000000;00836258000122
202509;14;1980000883;COTAS;4559844.984068000000000;
202509;14;1980000883;COTAS;6902895.626310000000000;
202509;14;9970000000;COTAS;908731.493752000000000;
202509;14;1980000883;COTAS;4510755.546410000000000;
202509;14;1980000883;COTAS;1466683.283774000000000;05290139000130
202509;14;2023001692;COTAS;11417902.506669000000000;05290139000130
202509;14;2023001692;COTAS;12542292.517084000000000;
202509;14;2008001083;COTAS;2281509.897835000000000;
202509;14;2023001692;COTAS;3222447.340088000000000;
